epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
28,0.004997,0.002824,0.217347,0.042218,0.029696,1.252197,0.1822,0.1839,0.1830,0.4044,0.4081,0.4062,0.5511,0.5561,0.5536,223,225,0.3636,0.4,0.0,0.000294
29,0.004650,0.002538,0.211184,0.047876,0.034854,1.302191,0.2120,0.2063,0.2091,0.4101,0.3991,0.4045,0.6129,0.5964,0.6045,223,217,0.3636,0.4,0.0,0.000294
30,0.004470,0.002441,0.202904,0.052226,0.039545,1.268114,0.1991,0.1883,0.1935,0.4882,0.4619,0.4747,0.6635,0.6278,0.6452,223,211,0.3636,0.4,0.0,0.000293
31,0.003874,0.002000,0.187398,0.061675,0.046517,1.515791,0.2417,0.2287,0.2350,0.4218,0.3991,0.4101,0.6303,0.5964,0.6129,223,211,0.3636,0.4,0.0,0.000293
32,0.004242,0.002241,0.200085,0.041664,0.029733,1.193019,0.2582,0.2825,0.2698,0.5123,0.5605,0.5353,0.6475,0.7085,0.6767,223,244,0.3636,0.4,0.0,0.000292
33,0.041565,0.033414,0.815100,0.030790,0.020045,1.074445,0.0312,0.0404,0.0352,0.0833,0.1076,0.0939,0.1771,0.2287,0.1996,223,288,0.3636,0.4,0.0,0.000292
34,0.022155,0.012668,0.948694,0.028102,0.017191,1.091080,0.1435,0.1480,0.1457,0.3391,0.3498,0.3444,0.4913,0.5067,0.4989,223,230,0.3636,0.4,0.0,0.000291
35,0.010961,0.006495,0.446592,0.025758,0.016282,0.947640,0.1674,0.1749,0.1711,0.3047,0.3184,0.3114,0.4378,0.4574,0.4474,223,233,0.3636,0.4,0.0,0.000291
36,0.007709,0.004650,0.305844,0.031721,0.021656,1.006483,0.1542,0.1570,0.1556,0.3480,0.3543,0.3511,0.5595,0.5695,0.5644,223,227,0.3636,0.4,0.0,0.000290
37,0.005968,0.003536,0.243162,0.038021,0.026789,1.123158,0.1562,0.1570,0.1566,0.3482,0.3498,0.3490,0.5089,0.5112,0.5101,223,224,0.3636,0.4,0.0,0.000290
38,0.004724,0.002657,0.206748,0.039343,0.027524,1.181939,0.1711,0.1749,0.1729,0.4079,0.4170,0.4124,0.5746,0.5874,0.5809,223,228,0.3636,0.4,0.0,0.000289
39,0.003895,0.002105,0.179010,0.042270,0.029978,1.229197,0.2089,0.2108,0.2098,0.4667,0.4709,0.4688,0.6178,0.6233,0.6205,223,225,0.3636,0.4,0.0,0.000289
40,0.003363,0.001730,0.163260,0.045425,0.033199,1.222605,0.1930,0.1973,0.1951,0.4342,0.4439,0.4390,0.6184,0.6323,0.6253,223,228,0.3636,0.4,0.0,0.000288
41,0.003104,0.001520,0.158485,0.048557,0.035723,1.283398,0.1972,0.1928,0.1950,0.4541,0.4439,0.4490,0.6468,0.6323,0.6395,223,218,0.3636,0.4,0.0,0.000287
42,0.002633,0.001249,0.138337,0.047228,0.034265,1.296356,0.2261,0.2332,0.2296,0.4783,0.4933,0.4857,0.6652,0.6861,0.6755,223,230,0.3636,0.4,0.0,0.000287
43,0.002407,0.001128,0.127875,0.051904,0.038924,1.297918,0.2443,0.2422,0.2432,0.4932,0.4888,0.4910,0.6923,0.6861,0.6892,223,221,0.3636,0.4,0.0,0.000286
44,0.002358,0.000997,0.136148,0.055736,0.043045,1.269123,0.2207,0.2197,0.2202,0.4685,0.4664,0.4674,0.6306,0.6278,0.6292,223,222,0.3636,0.4,0.0,0.000286
45,0.002234,0.000975,0.125908,0.056826,0.044118,1.270795,0.2768,0.2780,0.2774,0.5491,0.5516,0.5503,0.7277,0.7309,0.7293,223,224,0.3636,0.4,0.0,0.000285
46,0.002238,0.000994,0.124394,0.058518,0.045582,1.293613,0.2054,0.2063,0.2058,0.4955,0.4978,0.4966,0.6473,0.6502,0.6488,223,224,0.3636,0.4,0.0,0.000284
47,0.001915,0.000774,0.114103,0.061375,0.048352,1.302340,0.2740,0.2691,0.2715,0.5388,0.5291,0.5339,0.7123,0.6996,0.7059,223,219,0.3636,0.4,0.0,0.000283
48,0.001578,0.000544,0.103342,0.059280,0.046467,1.281292,0.2655,0.2691,0.2673,0.5619,0.5695,0.5657,0.7389,0.7489,0.7439,223,226,0.3636,0.4,0.0,0.000283
49,0.001382,0.000437,0.094554,0.062552,0.049783,1.276854,0.2613,0.2601,0.2607,0.5000,0.4978,0.4989,0.6622,0.6592,0.6607,223,222,0.3636,0.4,0.0,0.000282
50,0.001275,0.000387,0.088805,0.065763,0.052299,1.346430,0.2636,0.2601,0.2619,0.5182,0.5112,0.5147,0.7000,0.6906,0.6953,223,220,0.3636,0.3,0.0,0.000281
51,0.001128,0.000329,0.079806,0.067176,0.054327,1.284919,0.2978,0.3004,0.2991,0.5556,0.5605,0.5580,0.7111,0.7175,0.7143,223,225,0.3636,0.4,0.0,0.000281
52,0.001174,0.000311,0.086309,0.068136,0.054571,1.356428,0.2670,0.2646,0.2658,0.5475,0.5426,0.5450,0.7376,0.7309,0.7342,223,221,0.3636,0.4,0.0,0.000280
53,0.001084,0.000286,0.079777,0.071176,0.057770,1.340631,0.2870,0.2870,0.2870,0.5381,0.5381,0.5381,0.7085,0.7085,0.7085,223,223,0.3636,0.4,0.0,0.000279
54,0.000970,0.000223,0.074728,0.072571,0.058679,1.389234,0.3108,0.3094,0.3101,0.5495,0.5471,0.5483,0.7387,0.7354,0.7371,223,222,0.3636,0.4,0.0,0.000278
55,0.001026,0.000213,0.081282,0.070384,0.057227,1.315725,0.3170,0.3184,0.3177,0.5804,0.5830,0.5817,0.7232,0.7265,0.7248,223,224,0.3636,0.4,0.0,0.000277
56,0.000797,0.000176,0.062032,0.071541,0.058406,1.313512,0.3393,0.3408,0.3400,0.5848,0.5874,0.5861,0.7366,0.7399,0.7383,223,224,0.3636,0.3,0.0,0.000277
57,0.000701,0.000144,0.055665,0.073501,0.060530,1.297172,0.3170,0.3184,0.3177,0.5625,0.5650,0.5638,0.7098,0.7130,0.7114,223,224,0.3636,0.4,0.0,0.000276
58,0.000661,0.000136,0.052516,0.073678,0.060680,1.299835,0.3080,0.3094,0.3087,0.5938,0.5964,0.5951,0.7277,0.7309,0.7293,223,224,0.3636,0.4,0.0,0.000275
59,0.000601,0.000108,0.049329,0.075754,0.062612,1.314205,0.3482,0.3498,0.3490,0.5982,0.6009,0.5996,0.7321,0.7354,0.7338,223,224,0.3636,0.4,0.0,0.000274
60,0.000555,0.000101,0.045358,0.076663,0.063630,1.303299,0.3438,0.3453,0.3445,0.5938,0.5964,0.5951,0.7232,0.7265,0.7248,223,224,0.3636,0.4,0.0,0.000273
61,0.000532,0.000090,0.044184,0.078863,0.065641,1.322250,0.3438,0.3453,0.3445,0.5982,0.6009,0.5996,0.7232,0.7265,0.7248,223,224,0.3636,0.4,0.0,0.000272
62,0.000499,0.000086,0.041359,0.079092,0.065819,1.327298,0.3422,0.3453,0.3438,0.6133,0.6188,0.6161,0.7333,0.7399,0.7366,223,225,0.3636,0.4,0.0,0.000271
63,0.000480,0.000076,0.040444,0.078700,0.065332,1.336809,0.3438,0.3453,0.3445,0.5938,0.5964,0.5951,0.7455,0.7489,0.7472,223,224,0.3636,0.4,0.0,0.000270
64,0.000480,0.000072,0.040846,0.080763,0.067620,1.314215,0.3689,0.3722,0.3705,0.6222,0.6278,0.6250,0.7289,0.7354,0.7321,223,225,0.3705,0.4,0.0,0.000270
65,0.000424,0.000064,0.035989,0.081450,0.068132,1.331831,0.3616,0.3632,0.3624,0.6027,0.6054,0.6040,0.7143,0.7175,0.7159,223,224,0.3705,0.4,0.0,0.000269
66,0.000391,0.000061,0.033084,0.083710,0.070475,1.323489,0.3482,0.3498,0.3490,0.5982,0.6009,0.5996,0.7277,0.7309,0.7293,223,224,0.3705,0.4,0.0,0.000268
67,0.000358,0.000053,0.030467,0.082594,0.069292,1.330239,0.3661,0.3677,0.3669,0.6205,0.6233,0.6219,0.7188,0.7220,0.7204,223,224,0.3705,0.4,0.0,0.000267
68,0.000341,0.000051,0.028985,0.083363,0.070182,1.318160,0.3571,0.3587,0.3579,0.6295,0.6323,0.6309,0.7321,0.7354,0.7338,223,224,0.3705,0.4,0.0,0.000266
69,0.000334,0.000047,0.028723,0.085883,0.072424,1.345812,0.3587,0.3587,0.3587,0.6188,0.6188,0.6188,0.7309,0.7309,0.7309,223,223,0.3705,0.4,0.0,0.000265
70,0.000327,0.000049,0.027789,0.084303,0.070945,1.335806,0.3929,0.3946,0.3937,0.6205,0.6233,0.6219,0.7545,0.7578,0.7562,223,224,0.3937,0.4,0.0,0.000264
71,0.000296,0.000043,0.025378,0.085460,0.072211,1.324928,0.3839,0.3857,0.3848,0.6116,0.6143,0.6130,0.7277,0.7309,0.7293,223,224,0.3937,0.4,0.0,0.000263
72,0.000298,0.000044,0.025444,0.084423,0.071354,1.306882,0.3973,0.3991,0.3982,0.6384,0.6413,0.6398,0.7411,0.7444,0.7427,223,224,0.3982,0.4,0.0,0.000262
73,0.000283,0.000040,0.024318,0.085346,0.072040,1.330545,0.3938,0.3991,0.3964,0.6372,0.6457,0.6414,0.7345,0.7444,0.7394,223,226,0.3982,0.4,0.0,0.000261
74,0.000254,0.000036,0.021833,0.085767,0.072342,1.342522,0.3894,0.3946,0.3920,0.6195,0.6278,0.6236,0.7257,0.7354,0.7305,223,226,0.3982,0.4,0.0,0.000260
75,0.000238,0.000034,0.020320,0.087157,0.073848,1.330878,0.3929,0.3946,0.3937,0.6339,0.6368,0.6353,0.7455,0.7489,0.7472,223,224,0.3982,0.4,0.0,0.000259
76,0.000233,0.000032,0.020033,0.086979,0.073716,1.326244,0.4133,0.4170,0.4152,0.6578,0.6637,0.6607,0.7556,0.7623,0.7589,223,225,0.4152,0.4,0.0,0.000258
77,0.000232,0.000034,0.019823,0.087789,0.074473,1.331599,0.4115,0.4170,0.4143,0.6372,0.6457,0.6414,0.7389,0.7489,0.7439,223,226,0.4152,0.4,0.0,0.000256
78,0.000213,0.000032,0.018111,0.089003,0.075613,1.339006,0.4152,0.4170,0.4161,0.6429,0.6457,0.6443,0.7455,0.7489,0.7472,223,224,0.4161,0.4,0.0,0.000255
79,0.000200,0.000028,0.017228,0.089959,0.076486,1.347313,0.4286,0.4305,0.4295,0.6473,0.6502,0.6488,0.7500,0.7534,0.7517,223,224,0.4295,0.4,0.0,0.000254
80,0.000197,0.000027,0.017018,0.089833,0.076334,1.349948,0.4286,0.4305,0.4295,0.6473,0.6502,0.6488,0.7411,0.7444,0.7427,223,224,0.4295,0.4,0.0,0.000253
81,0.000183,0.000024,0.015902,0.088735,0.075495,1.323978,0.4356,0.4395,0.4375,0.6533,0.6592,0.6563,0.7600,0.7668,0.7634,223,225,0.4375,0.4,0.0,0.000252
82,0.000178,0.000026,0.015271,0.091766,0.078295,1.347031,0.4215,0.4215,0.4215,0.6413,0.6413,0.6413,0.7354,0.7354,0.7354,223,223,0.4375,0.4,0.0,0.000251
83,0.000164,0.000022,0.014164,0.090415,0.077037,1.337826,0.4311,0.4350,0.4330,0.6444,0.6502,0.6473,0.7378,0.7444,0.7411,223,225,0.4375,0.4,0.0,0.000250
