epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
32,0.016896,0.010426,0.646930,0.031515,0.016343,1.517193,0.5504,0.5874,0.5683,0.7479,0.7982,0.7722,0.8361,0.8924,0.8633,223,238,0.6095,0.9,0.1,0.000292
33,0.016472,0.009489,0.698306,0.030612,0.014944,1.566818,0.4684,0.4978,0.4826,0.7511,0.7982,0.7739,0.8650,0.9193,0.8913,223,237,0.6095,0.9,0.1,0.000292
34,0.013583,0.008134,0.544888,0.021713,0.011416,1.029659,0.2612,0.2870,0.2735,0.5796,0.6368,0.6068,0.7224,0.7937,0.7564,223,245,0.6095,0.9,0.1,0.000291
35,0.011525,0.007174,0.435152,0.025806,0.013869,1.193670,0.3636,0.3767,0.3700,0.6883,0.7130,0.7004,0.8225,0.8520,0.8370,223,231,0.6095,0.9,0.1,0.000291
36,0.010101,0.006446,0.365425,0.030106,0.016110,1.399571,0.4142,0.4439,0.4286,0.6778,0.7265,0.7013,0.8075,0.8655,0.8355,223,239,0.6095,0.9,0.1,0.000290
37,0.010902,0.006824,0.407723,0.024035,0.012439,1.159577,0.3924,0.4170,0.4043,0.6962,0.7399,0.7174,0.8354,0.8879,0.8609,223,237,0.6095,1.0,0.1,0.000290
38,0.009321,0.006055,0.326595,0.029890,0.017808,1.208229,0.2615,0.2556,0.2585,0.5917,0.5785,0.5850,0.7661,0.7489,0.7574,223,218,0.6095,0.9,0.1,0.000289
39,0.008827,0.005847,0.297965,0.028128,0.017061,1.106711,0.1963,0.1928,0.1946,0.5205,0.5112,0.5158,0.7215,0.7085,0.7149,223,219,0.6095,0.9,0.0,0.000289
40,0.008115,0.005457,0.265830,0.026451,0.015351,1.110042,0.2703,0.2691,0.2697,0.5721,0.5695,0.5708,0.7477,0.7444,0.7461,223,222,0.6095,0.9,0.1,0.000288
41,0.007885,0.005239,0.264561,0.028577,0.016228,1.234985,0.1477,0.1570,0.1522,0.4177,0.4439,0.4304,0.6540,0.6951,0.6739,223,237,0.6095,0.9,0.1,0.000287
