epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
32,0.011643,0.007337,0.430600,0.109785,0.066010,4.377539,0.2787,0.3049,0.2912,0.4098,0.4484,0.4283,0.4959,0.5426,0.5182,223,244,0.3120,0.3,0.0,0.000292
33,0.010661,0.006648,0.401276,0.127380,0.084185,4.319472,0.2785,0.2735,0.2760,0.4658,0.4574,0.4615,0.5845,0.5740,0.5792,223,219,0.3120,0.3,0.0,0.000292
34,0.009354,0.005711,0.364226,0.146874,0.104435,4.243891,0.3349,0.3184,0.3264,0.5000,0.4753,0.4874,0.6085,0.5785,0.5931,223,212,0.3264,0.3,0.0,0.000291
35,0.008060,0.004898,0.316286,0.126640,0.081957,4.468250,0.3137,0.3587,0.3347,0.4627,0.5291,0.4937,0.5451,0.6233,0.5816,223,255,0.3347,0.3,0.0,0.000291
36,0.007422,0.004456,0.296620,0.136886,0.093399,4.348718,0.3165,0.3363,0.3261,0.4515,0.4798,0.4652,0.5443,0.5785,0.5609,223,237,0.3347,0.3,0.0,0.000290
37,0.007136,0.004260,0.287655,0.139686,0.098749,4.093718,0.3070,0.3139,0.3104,0.4298,0.4395,0.4346,0.5351,0.5471,0.5410,223,228,0.3347,0.3,0.0,0.000290
38,0.007547,0.004558,0.298935,0.140486,0.096012,4.447386,0.3198,0.3543,0.3362,0.4615,0.5112,0.4851,0.5870,0.6502,0.6170,223,247,0.3362,0.3,0.0,0.000289
39,0.006580,0.003826,0.275370,0.150115,0.106085,4.402955,0.2991,0.3139,0.3063,0.4658,0.4888,0.4770,0.5769,0.6054,0.5908,223,234,0.3362,0.3,0.0,0.000289
40,0.005414,0.003080,0.233409,0.158096,0.115772,4.232402,0.3234,0.3408,0.3319,0.4553,0.4798,0.4672,0.5660,0.5964,0.5808,223,235,0.3362,0.3,0.0,0.000288
41,0.004261,0.002249,0.201145,0.166812,0.124031,4.278070,0.3151,0.3363,0.3254,0.4580,0.4888,0.4729,0.5714,0.6099,0.5900,223,238,0.3362,0.3,0.0,0.000287
42,0.003679,0.001848,0.183162,0.159558,0.117759,4.179901,0.3240,0.3632,0.3425,0.4520,0.5067,0.4778,0.5440,0.6099,0.5751,223,250,0.3425,0.3,0.0,0.000287
43,0.003386,0.001633,0.175299,0.180893,0.138727,4.216549,0.3252,0.3587,0.3412,0.4390,0.4843,0.4606,0.5610,0.6188,0.5885,223,246,0.3425,0.3,0.0,0.000286
44,0.003087,0.001482,0.160485,0.190189,0.146483,4.370634,0.3291,0.3453,0.3370,0.4658,0.4888,0.4770,0.5897,0.6188,0.6039,223,234,0.3425,0.3,0.0,0.000286
