epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
32,0.114702,0.040877,7.382541,0.181989,0.057496,12.449291,0.1241,0.0807,0.0978,0.2207,0.1435,0.1739,0.3448,0.2242,0.2717,223,145,0.1503,0.2,0.0,0.000292
33,0.111531,0.039768,7.176286,0.178154,0.051298,12.685607,0.1226,0.1166,0.1195,0.2028,0.1928,0.1977,0.2925,0.2780,0.2851,223,212,0.1503,0.2,0.0,0.000292
34,0.114321,0.040546,7.377533,0.153071,0.050306,10.276500,0.0786,0.0807,0.0796,0.1703,0.1749,0.1726,0.2314,0.2377,0.2345,223,229,0.1503,0.2,0.0,0.000291
35,0.115338,0.039908,7.543012,0.170747,0.054790,11.595678,0.0798,0.0583,0.0674,0.1963,0.1435,0.1658,0.3006,0.2197,0.2539,223,163,0.1503,0.2,0.0,0.000291
36,0.112420,0.040616,7.180391,0.173423,0.058032,11.539041,0.1039,0.0717,0.0849,0.2143,0.1480,0.1751,0.3052,0.2108,0.2493,223,154,0.1503,0.2,0.0,0.000290
37,0.110795,0.039207,7.158822,0.162071,0.050888,11.118318,0.0810,0.0762,0.0785,0.1762,0.1659,0.1709,0.2619,0.2466,0.2540,223,210,0.1503,0.2,0.0,0.000290
38,0.110919,0.039490,7.142898,0.170442,0.057673,11.276891,0.0647,0.0404,0.0497,0.1799,0.1121,0.1381,0.2662,0.1659,0.2044,223,139,0.1503,0.2,0.0,0.000289
39,0.109315,0.038686,7.062892,0.175921,0.051936,12.398499,0.0995,0.0852,0.0918,0.1832,0.1570,0.1691,0.2880,0.2466,0.2657,223,191,0.1503,0.2,0.0,0.000289
40,0.111196,0.039557,7.163889,0.223834,0.068774,15.506001,0.1410,0.0493,0.0731,0.2179,0.0762,0.1130,0.4231,0.1480,0.2193,223,78,0.1503,0.2,0.0,0.000288
41,0.117473,0.042423,7.504986,0.168043,0.048187,11.985541,0.1189,0.1300,0.1242,0.2008,0.2197,0.2099,0.2910,0.3184,0.3041,223,244,0.1503,0.2,0.0,0.000287
42,0.111002,0.039670,7.133147,0.165043,0.048268,11.677449,0.1073,0.1121,0.1096,0.1888,0.1973,0.1930,0.2833,0.2960,0.2895,223,233,0.1503,0.2,0.0,0.000287
43,0.109847,0.039424,7.042231,0.200159,0.068186,13.197222,0.1467,0.0493,0.0738,0.2133,0.0717,0.1074,0.3733,0.1256,0.1879,223,75,0.1503,0.2,0.0,0.000286
44,0.109520,0.039178,7.034146,0.163674,0.052579,11.109436,0.0919,0.0762,0.0833,0.1946,0.1614,0.1765,0.2757,0.2287,0.2500,223,185,0.1503,0.2,0.0,0.000286
45,0.109246,0.038501,7.074463,0.173154,0.048079,12.507490,0.1265,0.1390,0.1325,0.1959,0.2152,0.2051,0.2816,0.3094,0.2949,223,245,0.1503,0.2,0.0,0.000285
46,0.108594,0.038830,6.976450,0.184987,0.065490,11.949781,0.0714,0.0314,0.0436,0.1837,0.0807,0.1121,0.2551,0.1121,0.1558,223,98,0.1503,0.2,0.0,0.000284
47,0.108407,0.039352,6.905512,0.174095,0.049561,12.453350,0.1135,0.1166,0.1150,0.1878,0.1928,0.1903,0.2795,0.2870,0.2832,223,229,0.1503,0.2,0.0,0.000283
48,0.107860,0.038473,6.938652,0.197597,0.066479,13.111718,0.1089,0.0493,0.0679,0.1683,0.0762,0.1049,0.2772,0.1256,0.1728,223,101,0.1503,0.2,0.0,0.000283
49,0.111714,0.039990,7.172466,0.159380,0.049973,10.940684,0.0995,0.0897,0.0943,0.1940,0.1749,0.1840,0.2388,0.2152,0.2264,223,201,0.1503,0.2,0.0,0.000282
50,0.114176,0.043226,7.094984,0.163106,0.046998,11.610747,0.1098,0.1256,0.1172,0.2000,0.2287,0.2134,0.2588,0.2960,0.2762,223,255,0.1503,0.2,0.0,0.000281
