epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
32,0.007623,0.004551,0.307199,0.097182,0.067601,2.958074,0.3781,0.3408,0.3585,0.5721,0.5157,0.5425,0.7015,0.6323,0.6651,223,201,0.4879,0.2,0.0,0.000292
33,0.006739,0.004125,0.261403,0.092820,0.065940,2.687912,0.3558,0.3318,0.3434,0.5433,0.5067,0.5244,0.6827,0.6368,0.6589,223,208,0.4879,0.2,0.0,0.000292
34,0.005526,0.003371,0.215482,0.094179,0.067043,2.713602,0.2919,0.2735,0.2824,0.5120,0.4798,0.4954,0.6507,0.6099,0.6296,223,209,0.4879,0.2,0.0,0.000291
35,0.006803,0.004465,0.233790,0.078309,0.051171,2.713852,0.3233,0.3363,0.3297,0.4957,0.5157,0.5055,0.6379,0.6637,0.6505,223,232,0.4879,0.2,0.0,0.000291
36,0.006906,0.004378,0.252819,0.103512,0.073993,2.951893,0.3384,0.3004,0.3183,0.5354,0.4753,0.5036,0.6566,0.5830,0.6176,223,198,0.4879,0.2,0.0,0.000290
37,0.005550,0.003395,0.215464,0.107222,0.077120,3.010207,0.3750,0.3632,0.3690,0.5324,0.5157,0.5239,0.6713,0.6502,0.6606,223,216,0.4879,0.2,0.0,0.000290
38,0.005997,0.003806,0.219128,0.092567,0.063704,2.886336,0.3884,0.3901,0.3893,0.5357,0.5381,0.5369,0.6741,0.6771,0.6756,223,224,0.4879,0.2,0.0,0.000289
39,0.008024,0.005283,0.274051,0.080735,0.052252,2.848223,0.3721,0.4305,0.3992,0.5659,0.6547,0.6071,0.6628,0.7668,0.7110,223,258,0.4879,0.2,0.0,0.000289
40,0.005723,0.003687,0.203547,0.097656,0.067009,3.064704,0.4103,0.4305,0.4201,0.5684,0.5964,0.5821,0.6880,0.7220,0.7046,223,234,0.4879,0.2,0.0,0.000288
41,0.004917,0.002885,0.203279,0.107538,0.075441,3.209713,0.3991,0.3901,0.3946,0.5321,0.5202,0.5261,0.6789,0.6637,0.6712,223,218,0.4879,0.2,0.0,0.000287
42,0.004675,0.002702,0.197285,0.120141,0.090821,2.931947,0.3495,0.3229,0.3357,0.5534,0.5112,0.5315,0.6845,0.6323,0.6573,223,206,0.4879,0.2,0.0,0.000287
43,0.004698,0.002844,0.185458,0.100035,0.071794,2.824162,0.3772,0.3857,0.3814,0.5833,0.5964,0.5898,0.6886,0.7040,0.6962,223,228,0.4879,0.2,0.0,0.000286
44,0.010769,0.006813,0.395532,0.121396,0.087244,3.415150,0.3761,0.3677,0.3719,0.5367,0.5247,0.5306,0.6560,0.6413,0.6485,223,218,0.4879,0.2,0.0,0.000286
45,0.019647,0.012116,0.753073,0.076003,0.046250,2.975309,0.2838,0.2915,0.2876,0.4760,0.4888,0.4823,0.6376,0.6547,0.6460,223,229,0.4879,0.2,0.0,0.000285
46,0.007744,0.004632,0.311143,0.083183,0.055302,2.788072,0.3198,0.3184,0.3191,0.5360,0.5336,0.5348,0.7072,0.7040,0.7056,223,222,0.4879,0.2,0.0,0.000284
47,0.005385,0.003250,0.213551,0.107115,0.077614,2.950061,0.3206,0.3004,0.3102,0.5407,0.5067,0.5231,0.6842,0.6413,0.6620,223,209,0.4879,0.2,0.0,0.000283
48,0.003896,0.002363,0.153255,0.098358,0.068498,2.985959,0.3696,0.3812,0.3753,0.5391,0.5561,0.5475,0.6826,0.7040,0.6932,223,230,0.4879,0.2,0.0,0.000283
49,0.003334,0.002035,0.129886,0.128297,0.098272,3.002459,0.3909,0.3453,0.3667,0.6041,0.5336,0.5667,0.7411,0.6547,0.6952,223,197,0.4879,0.2,0.0,0.000282
50,0.003052,0.001884,0.116722,0.103923,0.074162,2.976181,0.3525,0.3857,0.3683,0.5000,0.5471,0.5225,0.6516,0.7130,0.6809,223,244,0.4879,0.2,0.0,0.000281
51,0.002428,0.001474,0.095470,0.125527,0.094927,3.060051,0.4009,0.3991,0.4000,0.5631,0.5605,0.5618,0.7252,0.7220,0.7236,223,222,0.4879,0.2,0.0,0.000281
52,0.001733,0.001017,0.071624,0.132346,0.101251,3.109537,0.3896,0.4036,0.3965,0.5498,0.5695,0.5595,0.6710,0.6951,0.6828,223,231,0.4879,0.2,0.0,0.000280
53,0.001689,0.000960,0.072901,0.142357,0.109844,3.251363,0.4336,0.4395,0.4365,0.5575,0.5650,0.5612,0.6903,0.6996,0.6949,223,226,0.4879,0.2,0.0,0.000279
54,0.003102,0.001965,0.113717,0.133191,0.103005,3.018644,0.3565,0.3453,0.3508,0.5324,0.5157,0.5239,0.6528,0.6323,0.6424,223,216,0.4879,0.2,0.0,0.000278
55,0.002633,0.001366,0.126694,0.137650,0.109350,2.830017,0.4208,0.4170,0.4189,0.5882,0.5830,0.5856,0.7330,0.7265,0.7297,223,221,0.4879,0.2,0.0,0.000277
56,0.002010,0.001110,0.089997,0.144326,0.114268,3.005732,0.3946,0.3946,0.3946,0.5695,0.5695,0.5695,0.7265,0.7265,0.7265,223,223,0.4879,0.2,0.0,0.000277
57,0.001560,0.000818,0.074166,0.143785,0.113221,3.056348,0.4522,0.4664,0.4592,0.5957,0.6143,0.6049,0.7130,0.7354,0.7241,223,230,0.4879,0.2,0.0,0.000276
58,0.001170,0.000560,0.060973,0.170023,0.138086,3.193702,0.4220,0.4126,0.4172,0.5826,0.5695,0.5760,0.7064,0.6906,0.6984,223,218,0.4879,0.2,0.0,0.000275
59,0.000922,0.000426,0.049648,0.181820,0.149236,3.258368,0.4641,0.4350,0.4491,0.6507,0.6099,0.6296,0.7560,0.7085,0.7315,223,209,0.4879,0.2,0.0,0.000274
60,0.000751,0.000324,0.042674,0.191887,0.159823,3.206387,0.4575,0.4350,0.4460,0.6132,0.5830,0.5977,0.7217,0.6861,0.7034,223,212,0.4879,0.2,0.0,0.000273
61,0.000667,0.000268,0.039886,0.194828,0.163015,3.181277,0.4601,0.4395,0.4495,0.6479,0.6188,0.6330,0.7465,0.7130,0.7294,223,213,0.4879,0.2,0.0,0.000272
62,0.000529,0.000204,0.032551,0.201386,0.168672,3.271480,0.4601,0.4395,0.4495,0.6573,0.6278,0.6422,0.7230,0.6906,0.7064,223,213,0.4879,0.2,0.0,0.000271
63,0.000480,0.000173,0.030643,0.209452,0.176353,3.309942,0.4764,0.4529,0.4644,0.6462,0.6143,0.6299,0.7358,0.6996,0.7172,223,212,0.4879,0.2,0.0,0.000270
64,0.000454,0.000149,0.030485,0.213280,0.180847,3.243278,0.4486,0.4305,0.4394,0.6402,0.6143,0.6270,0.7336,0.7040,0.7185,223,214,0.4879,0.2,0.0,0.000270
65,0.000522,0.000184,0.033767,0.217779,0.184563,3.321648,0.4340,0.4126,0.4230,0.6415,0.6099,0.6253,0.7358,0.6996,0.7172,223,212,0.4879,0.2,0.0,0.000269
66,0.000465,0.000169,0.029619,0.228316,0.195014,3.330136,0.4524,0.4260,0.4388,0.6429,0.6054,0.6236,0.7238,0.6816,0.7021,223,210,0.4879,0.2,0.0,0.000268
67,0.000425,0.000133,0.029202,0.228116,0.195399,3.271647,0.4593,0.4305,0.4444,0.6411,0.6009,0.6204,0.7416,0.6951,0.7176,223,209,0.4879,0.2,0.0,0.000267
68,0.000362,0.000111,0.025040,0.226120,0.193060,3.305981,0.4419,0.4260,0.4338,0.6465,0.6233,0.6347,0.7395,0.7130,0.7260,223,215,0.4879,0.2,0.0,0.000266
69,0.000335,0.000098,0.023721,0.229573,0.196910,3.266344,0.4352,0.4215,0.4282,0.6250,0.6054,0.6150,0.7222,0.6996,0.7107,223,216,0.4879,0.3,0.0,0.000265
70,0.000296,0.000079,0.021734,0.243846,0.209614,3.423234,0.4476,0.4215,0.4342,0.6524,0.6143,0.6328,0.7190,0.6771,0.6975,223,210,0.4879,0.2,0.0,0.000264
